childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Selaru (slu) (slu, Q744750)	Austronesian [Other] (map) (map, Q4922)
Selee (snw) (snw, Q3627)	Likpe-Santrokofi (Q1611057)
Selian (sxl) (sxl, Q3649)	East Baltic (Q14994)
Selkup (sel) (sel, Q3400)	Samoyedic languages (syd) (syd, Q3400)
Selti (Q3388)	Gurage (Q352801)
Seluwasan (sws) (sws, Q744884)	Q24341498 (Q2434149)
Semai (sea) (sea, Q313542)	Senoic (Q321752)
Semandang (sdm) (sdm, Q744901)	Dayak (day) (day, Q276061)
Semaq Beri (szc) (szc, Q744911)	Southern Aslian (Q744919)
Semelai (sza) (sza, Q311182)	Aslian (Q311108)
Semimi (etz) (etz, Q1095030)	Mairasi (Q673689)
Seminole (Q4701277)	Muscogee (mus) (mus, Q52301)
Semitic [Other] (sem) (sem, Q3404)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Semnam (ssm) (ssm, Q744971)	Senoic (Q321752)
Semnani (Q3396)	Northwestern Iranian (Q39057)
Semnani (smy) (smy, Q1453121)	Northwestern Iranian (Q39057)
Semnani (smy) (smy, Q1453121)	Semnani (Q3396)
Sempan (xse) (xse, Q350435)	Papuan [Other] (paa) (paa, Q23642)
Sena (seh) (seh, Q296400)	Nyasa (Q707092)
Senari (Q441608)	Senufo (Q3379)
Senaya (syn) (syn, Q3391)	Q256057 (Q256057)
Sene (sej) (sej, Q745025)	Huon (Q594610)
Seneca (see) (see, Q118513)	Seneca–Cayuga (Q6595473)
Seneca–Cayuga (Q6595473)	Iroquoian languages (iro) (iro, Q3362)
Sened (sds) (sds, Q5657)	East Zenati (Q532973)
Senegambian (Q170875)	Atlantic languages (Q107594)
Senggi (snu) (snu, Q792905)	Waris (Q1264507)
Sengo (spk) (spk, Q745058)	Ndu (Q321749)
Sengseng (ssz) (ssz, Q745060)	Pasismanua (Q2052656)
Sengwer (Q6199931)	Southern Nilotic (Q155241)
Senhaja De Srair (sjs) (sjs, Q5674)	Atlas (Q312302)
Senoic (Q321752)	Aslian (Q311108)
Sensi (sni) (sni, Q745102)	Panoan (Q154453)
Sentani (set) (set, Q344167)	Sentani (Q1704458)
Senufo (Q3379)	Gur (Q3353)
Sepa [Indonesia] (spb) (spb, Q1860368)	Sepa-Teluti (Q745172)
Sepa [Papua New Guinea] (spe) (spe, Q745172)	Schouten (Q339907)
Sepa-Teluti (Q745172)	Piru Bay (Q719811)
Sepik (Q350877)	Papuan [Other] (paa) (paa, Q23642)
Sepik Hill (Q745192)	Sepik (Q350877)
Sepik Iwam (iws) (iws, Q1689360)	Iwam (Q1514785)
Sera (sry) (sry, Q745260)	Siau (Q1264206)
Seram (Q1262883)	Central Maluku (Q321747)
Seram (Q2426548)	Q24340677 (Q2434067)
Seran Laut (Q1263146)	Banda-Geser (Q1262756)
Serang Javanese (Q1165178)	Javanese (jv) (jv, Q3354)
Serawai (Q1247344)	Central Malay (pse) (pse, Q336775)
Serbian (Cyrillic) (sr-Cyrl) (sr-Cyrl, Q2116194)	Serbian (sr) (sr, Q929)
Serbian (Latin) (sr-Latn) (sr-Latn, Q2116194)	Serbian (sr) (sr, Q929)
Serbian (sr) (sr, Q929)	Q348759 (Q348759)
Serbian Old Church Slavonic (Q350786)	Q3549 (Q3549)
Serbo-Croatian (sh) (sh, Q930)	Western South Slavic (Q1068677)
Sere (Q745305)	Sere-Ngbaka-Mba (Q1264196)
Sere (swf) (swf, Q745305)	Sere (Q745305)
Sere-Ngbaka-Mba (Q1264196)	Ubangian (Q3393)
Serer (srr) (srr, Q3628)	Senegambian (Q170875)
Sere–Bviri (Q12246355)	Sere (Q745305)
Seri (sei) (sei, Q3658)	Hokan languages (hok) (hok, Q3340)
Serili (sve) (sve, Q745483)	Babar (Q483752)
Seroa (kqu) (kqu, Q3312776)	Tuu (Q63104)
Serra Hills (Q6504315)	Skou (Q95350)
Serran (Q2101023)	Northern Uto-Aztecan (Q321754)
Serran (Q2101023)	Takic (Q128030)
Serrano (ser) (ser, Q347994)	Serran (Q2101023)
Serua (srw) (srw, Q1491690)	Timoric (Q780698)
Serudung Murut (srk) (srk, Q745549)	Paitanic (Q321750)
Serui Malay (Q8580044)	Papuan Malay (pmy) (pmy, Q1247344)
Seselwa Creole French (crs) (crs, Q3401)	Creoles and pidgins, French-based [Other] (cpf) (cpf, Q3326)
Seta (stf) (stf, Q745632)	West Wapei (Q5708494)
Setaman (stm) (stm, Q745633)	Ok (Q708168)
Seti (sbi) (sbi, Q745668)	West Wapei (Q5708494)
Seto (Q3401)	Q1329 (Q1329)
Sewa Bay (sew) (sew, Q745812)	Austronesian [Other] (map) (map, Q4922)
Seze (sze) (sze, Q37368)	West Mao (Q1264555)
Sha (scw) (scw, Q343881)	Ron (Q1611632)
Shabak (sdb) (sdb, Q328959)	Zaza–Gorani (Q16785)
Shahmirzadi (srz) (srz, Q1295312)	Caspian (Q504912)
Shahrudi (shm) (shm, Q746228)	Northwestern Iranian (Q39057)
Shahsevani dialect (Q570348)	South Azerbaijani (azb) (azb, Q344980)
Shall-Zwall (sha) (sha, Q391535)	Beromic (Q489464)
Shambala (ksb) (ksb, Q378873)	Northeast Coast Bantu (Q705784)
Shammo (Q10708748)	East Kainji (Q532868)
Shan (shn) (shn, Q5648)	Tai [Other] (tai) (tai, Q74972)
Shandong dialect (Q328543)	Chinese (zh) (zh, Q919)
Shanenawa (Q6197483)	Panoan (Q154453)
Shanga (sho) (sho, Q391393)	Mande languages (dmn) (dmn, Q3368)
Shanjo (Q748865)	Botatwe (Q494853)
Shao-Jiang Min (Q343145)	Inland Min (Q2066723)
Shaozhou Tuhua (Q192076)	Chinese (zh) (zh, Q785)
Sharanahua (mcd) (mcd, Q1295388)	Yaminahua-Sharanahua (Q1264535)
Shark Bay (ssv) (ssv, Q748978)	North and Central Vanuatu (Q307030)
Sharwa (swq) (swq, Q5679)	Biu–Mandara (Q225154)
Shasta (sht) (sht, Q5639)	Shastan (Q299173)
Shastan (Q299173)	Hokan languages (hok) (hok, Q3340)
Shatt (shj) (shj, Q5634)	Daju (Q95672)
Shawnee (sjw) (sjw, Q266920)	Central Algonquian (Q215399)
She (shx) (shx, Q260568)	Sheic (Q6078755)
Shebaya (Q749224)	Ta-Arawakan (Q767273)
Shehri (shv) (shv, Q3344)	Modern South Arabian (Q198190)
Sheic (Q6078755)	Hmong (hmn) (hmn, Q904077)
Sheikhgal (Q4748266)	Indic [Other] (inc) (inc, Q3357)
Shekhawati (swv) (swv, Q391542)	Rajasthani (raj) (raj, Q1319)
Sheko (she) (she, Q318335)	Dizoid (Q43025)
Shelta (sth) (sth, Q3670)	English (Ireland) (en-IE) (en-IE, Q66562)
Shelta (sth) (sth, Q3670)	Irish (ga) (ga, Q914)
Shendu (shl) (shl, Q2207461)	Kuki-Chin (Q83241)
Sheni (scv) (scv, Q1101582)	East Kainji (Q532868)
Sheni (scv) (scv, Q391394)	East Kainji (Q532868)
Sherbro (bun) (bun, Q3633)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Sherdukpen (sdp) (sdp, Q749478)	Kho-Bwa (Q640191)
Sherpa (xsr) (xsr, Q3661)	Q164115 (Q164115)
Sheshi Kham (kip) (kip, Q1295262)	Kham (Q3330)
Shi (shr) (shr, Q348199)	Bantu [Other] (bnt) (bnt, Q3314)
Shiaxa (Q749599)	Awyu–Dumut (Q483016)
Shigatse (Q4709085)	Q164115 (Q164115)
Shigatse Tibetan (Q4709295)	Tibetan (bo) (bo, Q3427)
Shihhi Arabic (ssh) (ssh, Q5657)	Q1504357 (Q1504357)
Shiki (gua) (gua, Q391394)	Jarawan (Q168343)
Shilluk (shk) (shk, Q3648)	Western Nilotic (Q311498)
Shinabo (snh) (snh, Q1295388)	Panoan (Q154453)
Shinji (Q749760)	Yaka (Q804702)
Shipibo-Conibo (shp) (shp, Q267198)	Panoan (Q154453)
Shirawa (Q6238966)	Bade (Q2058608)
Shirongolic (Q10753943)	Mongolian languages (xgn) (xgn, Q3375)
Shiroro (Q749895)	Kainji (Q68149)
Shiwe (Q749944)	Makaa-Njem (Q160389)
Sholaga (sle) (sle, Q750020)	Kannada-Badaga (Q636388)
Shona (sn) (sn, Q3400)	Shona languages (Q290466)
Shona languages (Q290466)	Southern Bantu (Q98049)
Shoo-Minda-Nye (bcv) (bcv, Q3654)	Jukunoid (Q171162)
Shor (cjs) (cjs, Q3413)	Yenisei Turkic (Q449489)
Shoshoni (shh) (shh, Q3381)	Numic (Q265754)
Shua (shg) (shg, Q350109)	Khoe (Q273644)
Shuadit (sdt) (sdt, Q5647)	Judaeo-Romance (Q93196)
Shuar (jiv) (jiv, Q61729)	Chicham (Q139307)
Shubi (suj) (suj, Q1100536)	Rwanda-Rundi (Q321751)
Shughni (sgh) (sgh, Q3405)	Eastern Iranian (Q39101)
Shuhi (sxg) (sxg, Q5633)	Naic (Q698299)
Shumashti (sts) (sts, Q3377)	Indic [Other] (inc) (inc, Q3357)
Shumcho (scu) (scu, Q2207773)	Bodish (Q181407)
Shuswap (shs) (shs, Q348268)	Interior Salish (Q1504390)
Shuwa-Zamani (ksa) (ksa, Q391392)	Kainji (Q68149)
Shwai (shw) (shw, Q3652)	Talodi–Heiban (Q152114)
Shwe Palaung (pll) (pll, Q1301853)	Palaungic (Q239117)
Sian (spg) (spg, Q750680)	Melanau–Bintulu (Q681117)
Siang (sya) (sya, Q348290)	West Barito (Q276167)
Siangic (Q750681)	Tani (Q321753)
Siar-Lak (sjr) (sjr, Q348290)	Western Oceanic (Q270128)
Siau (Q1264206)	Schouten (Q339907)
Siawi (mmp) (mmp, Q260570)	Amto–Musan (Q48028)
Sibe (nco) (nco, Q5680)	South Bougainville (Q321738)
Siberian Ingrian Finnish (Q12143794)	Finnish (fi) (fi, Q141)
Siberian Ingrian Finnish (Q12143794)	Ingrian (izh) (izh, Q3355)
Siberian Ingrian Finnish (Q12143794)	Northern Finnic (Q9721965)
Siberian Tatar (sty) (sty, Q441834)	Kipchak–Nogai (Q432695)
Siberian Turkic (Q35435)	Common Turkic (Q112602)
Sibu Melanau (sdx) (sdx, Q1864284)	Melanau (Q391582)
Sibuguey (Q11197286)	Pangutaran Sama (slm) (slm, Q336208)
Sicel (scx) (scx, Q3666)	Indo-European [Other] (ine) (ine, Q1986)
Sichuan Yi (ii) (ii, Q3423)	Nisoish (Q5699)
Sichuan Yi (ii) (ii, Q3423)	Yi (Q260039)
Sichuanese (Q227873)	Q260923 (Q260923)
Sicilian (scn) (scn, Q3397)	Italo-Romance (Q335648)
Siculo Arabic (sqr) (sqr, Q106948)	Q8518936 (Q8518936)
Sidamo (sid) (sid, Q3378)	Cushitic [Other] (cus) (cus, Q3324)
Sidetic (xsd) (xsd, Q3665)	Luwic (Q11574861)
Sie (erg) (erg, Q42625)	South Vanuatu (Q307017)
Sierra Chinantec (Q6238968)	Chinantecan (Q3582)
Sierra Leone Sign Language (sgx) (sgx, Q751144)	American Sign Language (ase) (ase, Q1475)
Sierra Miwok (Q6197596)	Eastern Miwok (Q2626878)
Sierra Negra Nahuatl (nsu) (nsu, Q6328432)	Tehuacan–Zongolica Nahuatl (Q1358964)
Sierra de Juárez Zapotec (zaa) (zaa, Q1295398)	Ixtlán Zapotec (Q6216870)
Sighu (sxe) (sxe, Q3643)	Kele (Q173816)
Sihan (snr) (snr, Q751340)	Papuan [Other] (paa) (paa, Q23642)
Sihuas Ancash Quechua (qws) (qws, Q4230836)	Ancash Quechua (Q3510)
Sika (ski) (ski, Q3396)	Central-Eastern Malayo-Polynesian (Q226988)
Sikaiana (sky) (sky, Q743924)	Nuclear Polynesian (Q74385)
Sikiana (sik) (sik, Q344373)	Q10745148 (Q10745148)
Sikkimese (sip) (sip, Q3528)	Southern Tibetic (Q1611287)
Siksiká (bla) (bla, Q3306)	Plains Algonquian (Q215367)
Sikule (skh) (skh, Q312108)	Northwest Sumatra–Barrier Islands (Q207130)
Sila (slt) (slt, Q751402)	Hanoish (Q564934)
Silacayoapan Mixtec (mks) (mks, Q751402)	Central Baja Mixtec (Q5093425)
Sileibi (sbq) (sbq, Q751433)	Southern Adelbert (Q1263398)
Silesian (szl) (szl, Q3031)	Lechitic (Q74278)
Siliput (mkc) (mkc, Q751509)	Maimai (Q5367932)
Siloid (Q6078707)	Hanoish (Q564934)
Silopi (xsp) (xsp, Q751553)	Hanseman (Q565102)
Simaa (sie) (sie, Q751732)	Luyana (Q2108148)
Simbali (smg) (smg, Q5669)	East New Britain (Q74848)
Simbali (smg) (smg, Q5669)	Papuan [Other] (paa) (paa, Q23642)
Simbari (smb) (smb, Q751742)	Papuan [Other] (paa) (paa, Q23642)
Simbo (sbb) (sbb, Q348410)	Western Oceanic (Q270128)
Simeulue (smr) (smr, Q299283)	Northwest Sumatra–Barrier Islands (Q207130)
Simte (smt) (smt, Q752126)	Northern Kuki-Chin (Q1611089)
Sinagen (siu) (siu, Q752165)	Torricelli (Q133383)
Sinasina (sst) (sst, Q752181)	Chimbu (Q1262897)
Sinaugoro (snc) (snc, Q417071)	Austronesian [Other] (map) (map, Q4922)
Sindhi (sd) (sd, Q3399)	Sindhi languages (Q752221)
Sindhi Bhil (sbn) (sbn, Q2555928)	Sindhi (sd) (sd, Q3399)
Sindhi Bhil (sbn) (sbn, Q2555928)	Sindhi languages (Q752221)
Sindhi languages (Q752221)	Q1611101 (Q1611101)
Singa (sgm) (sgm, Q752279)	North Nyanza (Q11198228)
Singapore Sign Language (sls) (sls, Q751256)	American Sign Language (ase) (ase, Q1475)
Singdarin (Q108301)	Mandarin Chinese (Singapore) (cmn-SG) (cmn-SG, Q104898)
Singpho (sgp) (sgp, Q752415)	Kachin (kac) (kac, Q3333)
Sinhala (si) (si, Q1326)	Insular Indo-Aryan (Q1217930)
Sinicahua Mixtec (xti) (xti, Q1295373)	Atatláhuca–San Miguel Mixtec (Q1295372)
Sininkere (skq) (skq, Q391489)	Soninke-Bobo (Q1611168)
Sinitic (Q3385)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Sinixt (Q1693166)	Salishan languages (sal) (sal, Q3398)
Sinkiang Dagur (Q6238972)	Daur (dta) (dta, Q3243)
Sino-Austronesian (Q752474)	Q2016217 (Q2016217)
Sino-Bai (Q12555592)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Sino-Tibetan [Other] (sit) (sit, Q4596)	Dené–Caucasian (Q50796)
Sino-Tibetan [Other] (sit) (sit, Q4596)	Q9879175 (Q9879175)
Sino-Tibetan [Other] (sit) (sit, Q4596)	Sino-Austronesian (Q752474)
Sino-Tibetan [Other] (sit) (sit, Q4596)	Sino-Tibetan-Indo-European (Q9769070)
Sino-Tibetan-Indo-European (Q9769070)	Q2016217 (Q2016217)
Sinte Romani (rmo) (rmo, Q179329)	Q705894 (Q705894)
Sio (xsi) (xsi, Q348510)	Western Oceanic (Q270128)
Siona (snn) (snn, Q348511)	Siona-Secoya (Q3200424)
Siona-Secoya (Q3200424)	Western Tucanoan (Q597295)
Siouan languages (sio) (sio, Q3418)	Hoka-Sioux (Q12038554)
Siouan languages (sio) (sio, Q3418)	Q5173 (Q5173)
Sioux (Q1326)	Dakotan (Q415412)
Sipacapense (qum) (qum, Q3658)	Quichean (Q727165)
Sira (Q143637)	Kongo-Yaka-Sira (Q2540517)
Sira (swj) (swj, Q3659)	Sira (Q143637)
Siraya (fos) (fos, Q71660)	East Formosan (Q71667)
Sirayaic (Q210720)	East Formosan (Q71667)
Sirenik Yupik (ysr) (ysr, Q2815)	Eskimo-Aleut languages (esx) (esx, Q2594)
Siri (sir) (sir, Q343872)	Warji (Q8581443)
Siriano (sri) (sri, Q348526)	Eastern Tucanoan (Q597295)
Sirionó (srq) (srq, Q302795)	Q2918817 (Q2918817)
Sirmauri (srx) (srx, Q1093949)	Northern Indo-Aryan (Q94607)
Siroi (ssd) (ssd, Q1077106)	Papuan [Other] (paa) (paa, Q23642)
Sisaala (Q3653)	Gurunsi (Q72100)
Sisiqa (Q4701248)	Choiseul (Q510409)
Sissano (sso) (sso, Q753093)	Siau (Q1264206)
Situ (Q1984083)	Jiarong (jya) (jya, Q83202)
Siuslaw (sis) (sis, Q231542)	Siuslawan (Q321752)
Siuslawan (Q321752)	Penutian (Q11548)
Siuslawan (Q321752)	Q5173 (Q5173)
Sivandi (siy) (siy, Q1326)	Northwestern Iranian (Q39057)
Siwai (siw) (siw, Q753251)	South Bougainville (Q321738)
Siwi (siz) (siz, Q3681)	Eastern Berber (Q251178)
Siwu (akp) (akp, Q3647)	Lelemi-Akpafu (Q1263540)
Skagit (ska) (ska, Q2555965)	Lushootseed (lut) (lut, Q3365)
Skalvian (svx) (svx, Q348612)	West Baltic (Q14994)
Skepi Creole Dutch (skw) (skw, Q252215)	Dutch-based creole languages (Q179262)
Skolt Sami (sms) (sms, Q1327)	Eastern Sami (Q350126)
Skou (skv) (skv, Q391520)	Skou (Q95350)
Slave (den) (den, Q1327)	Northern Athabaskan (Q2073)
Slave (den) (den, Q2855)	Slave (den) (den, Q1327)
Slavic [Other] (sla) (sla, Q2352)	Balto-Slavic (Q14735)
Slavomolisano (svm) (svm, Q3625)	Western South Slavic (Q1068677)
Slovak (sk) (sk, Q905)	Q233478 (Q233478)
Slovak (sk) (sk, Q905)	West Slavic languages (zlw) (zlw, Q14585)
Slovenian (sl) (sl, Q906)	Western South Slavic (Q1068677)
Small Flowery Miao (sfm) (sfm, Q754277)	West Hmongic (Q798540)
Smoi (Q1200157)	Norwegian (no) (no, Q904)
Smärky Kanum (kxq) (kxq, Q1295256)	Kanum (Q590864)
Snohomish (sno) (sno, Q2555966)	Lushootseed (lut) (lut, Q3365)
So [Democratic Republic of Congo] (soc) (soc, Q755513)	Soko (Q755513)
So'a (ssq) (ssq, Q757212)	Central-Eastern Malayo-Polynesian (Q226988)
So'a (ssq) (ssq, Q757212)	Sumba (Q8580403)
Sobei (sob) (sob, Q312103)	Sarmi–Jayapura (Q321752)
Sochiapam Chinantec (cso) (cso, Q755038)	Chinantecan (Q3582)
Soga (xog) (xog, Q3378)	North Nyanza (Q11198228)
Sogdien (sog) (sog, Q20597)	Eastern Iranian (Q39101)
Sogeram (Q8675041)	Southern Adelbert (Q1263398)
Soi (soj) (soj, Q793046)	Northwestern Iranian (Q39057)
Soko (Q755513)	Bangi–Tetela (Q485518)
Sokoro (sok) (sok, Q344130)	East Chadic (Q227622)
Solano (xso) (xso, Q247449)	Q5173 (Q5173)
Solomon Islands Pidgin English (Q5565163)	English (en) (en, Q186)
Solomon Islands Pidgin English (Q5565163)	Q3383 (Q3383)
Solong (aaw) (aaw, Q755883)	Austronesian [Other] (map) (map, Q4922)
Solos (sol) (sol, Q348959)	Western Oceanic (Q270128)
Som (smc) (smc, Q755908)	Finisterre (Q545037)
Somahai (Q755912)	Q2016217 (Q2016217)
Somali (so) (so, Q1327)	Cushitic [Other] (cus) (cus, Q3324)
Somali (so) (so, Q1327)	Somali languages (Q755916)
Somali languages (Q755916)	East Cushitic (Q5656)
Somba-Siawari (bmu) (bmu, Q500098)	Huon (Q594610)
Somrai (sor) (sor, Q312356)	East Chadic (Q227622)
Somray (smu) (smu, Q658361)	Pearic (Q307302)
Somyev (kgt) (kgt, Q391335)	Mambiloid (Q188815)
Sonde (shc) (shc, Q756088)	Pende (Q716237)
Songe (sop) (sop, Q313091)	Luban (Q453650)
Songhai (son) (son, Q50519)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Songish dialect (Q4701086)	Straits Salish (str) (str, Q3644)
Songlai Chin (csj) (csj, Q756128)	Kuki-Chin (Q83241)
Songo (soo) (soo, Q1295314)	Bantu [Other] (bnt) (bnt, Q3314)
Sonha (soi) (soi, Q1295389)	Tharu (Q3403)
Sonia (siq) (siq, Q756177)	Papuan [Other] (paa) (paa, Q23642)
Soninke (snk) (snk, Q3666)	Mande languages (dmn) (dmn, Q3368)
Soninke-Bobo (Q1611168)	Northwestern Mande (Q597291)
Soninke–Bozo (Q10483595)	Western Mande (Q1611383)
Sonqori (Q442882)	Southern Oghuz (Q10661221)
Sonsorol (sov) (sov, Q1328)	Sonsorol-Tobi (Q4701278)
Sonsorol-Tobi (Q4701278)	Chuukic (Q784764)
Soo (teu) (teu, Q343760)	Kuliak (Q179147)
Sooke (Q4701278)	Straits Salish (str) (str, Q3644)
Sopvoma (Q756321)	Angami–Pochuri (Q53046)
Soqotri (sqt) (sqt, Q1328)	Modern South Arabian (Q198190)
Sora (srb) (srb, Q1328)	South Munda (Q1263399)
Sorbian languages (wen) (wen, Q2544)	Lechitic (Q74278)
Sorbian languages (wen) (wen, Q2544)	West Slavic languages (zlw) (zlw, Q14585)
Sorbung (Q756334)	Kuki-Chin (Q83241)
Sori-Harengan (sbh) (sbh, Q3651)	Admiralty Islands (Q270130)
Sorkhei (sqo) (sqo, Q349196)	Northwestern Iranian (Q39057)
Sorothaptic (sxo) (sxo, Q276225)	Indo-European [Other] (ine) (ine, Q1986)
Sorsogon language (Q756374)	Central Visayan (Q321737)
Sos Kundi (sdk) (sdk, Q756381)	Kwaruwi Kwundi (Q6238862)
Soso–Jalonke (Q10483595)	Western Mande (Q1611383)
Sota Kanum (krz) (krz, Q1295256)	Kanum (Q590864)
Sotho–Tswana (Q203838)	Southern Bantu (Q98049)
Sou (sqq) (sqq, Q1301860)	Bahnaric (Q5630)
Sou Nama (tlt) (tlt, Q1295319)	Sepa-Teluti (Q745172)
Sou Upaa (wha) (wha, Q328712)	Central Maluku (Q321747)
South Australian Pidgin English (Q10542494)	Q482376 (Q482376)
South Awyu (aws) (aws, Q1263398)	Shiaxa (Q749599)
South Azerbaijani (azb) (azb, Q344980)	Azerbaijani (az) (az, Q929)
South Bandangbugu-langbasi (Q3648)	Banda (bad) (bad, Q80623)
South Barito (Q212248)	Central–South Barito (Q195107)
South Bauchi (Q2058609)	West Chadic (Q244777)
South Bauchi (Q2058609)	West Chadic B (Q1173283)
South Bird's Head (Q756633)	Trans-New Guinea languages (ngf) (ngf, Q3401)
South Bolivian Quechua (quh) (quh, Q130773)	Quechua (Bolivia) (qu-BO) (qu-BO, Q609433)
South Bolivian Quechua (quh) (quh, Q2555970)	Quechua (qu) (qu, Q521)
South Bougainville (Q321738)	Papuan [Other] (paa) (paa, Q23642)
South Caucasian languages (ccs) (ccs, Q3403)	Caucasian [Other] (cau) (cau, Q16992)
South Caucasian languages (ccs) (ccs, Q3403)	Q27631 (Q27631)
South Central Banda (lnl) (lnl, Q4135453)	South Bandangbugu-langbasi (Q3648)
South Central Dinka (dib) (dib, Q3515)	Dinka (din) (din, Q5646)
South Central Plateau (Q1264554)	Central Plateau (Q506166)
South Cushitic (Q5652)	Cushitic [Other] (cus) (cus, Q3324)
South Dravidian (Q12888661)	Dravidian [Other] (dra) (dra, Q3331)
South Dravidian (Q1611284)	Dravidian [Other] (dra) (dra, Q3331)
South Dravidian (Q1611284)	South Dravidian (Q12888661)
South Efate (erk) (erk, Q344907)	North and Central Vanuatu (Q307030)
South Fali (fal) (fal, Q1563735)	Fali (Q345016)
South Germanic (Q10693768)	West Germanic languages (gmw) (gmw, Q2672)
South Giziga (giz) (giz, Q350223)	Giziga (Q4700455)
South Halmahera (Q321736)	South Halmahera–West New Guinea (Q252661)
South Halmahera–West New Guinea (Q252661)	Eastern Malayo-Polynesian languages (pqe) (pqe, Q94096)
South Huon Gulf (Q756751)	Huon Gulf (Q306444)
South Marquesan (mqm) (mqm, Q1969421)	Marquesan (Q3378)
South Mesopotamian Arabic (Q10710407)	Mesopotamian Arabic (acm) (acm, Q5623)
South Mindanao (Q303657)	Philippine [Other] (phi) (phi, Q94785)
South Munda (Q1263399)	Munda languages (mun) (mun, Q3389)
South Muyu (kts) (kts, Q4230882)	Muyu (Q1491689)
South Ndebele (nr) (nr, Q3678)	Nguni (Q96155)
South Ndebele (nr) (nr, Q3678)	Zunda (Q1072510)
South New Ireland-Northwest Solomonic (Q321740)	Meso-Melanesian (Q270129)
South Nuaulu (nxl) (nxl, Q1854485)	Nuaulu (Q706781)
South Omotic (Q369952)	Omotic languages (omv) (omv, Q3386)
South Pauwasi (Q1985677)	Papuan [Other] (paa) (paa, Q23642)
South Picene (spx) (spx, Q3668)	Osco-Umbrian (Q51519)
South Plateau (Q756823)	Alumic (Q473735)
South Semitic (Q3889)	Semitic [Other] (sem) (sem, Q3404)
South Slavic languages (zls) (zls, Q14666)	Slavic [Other] (sla) (sla, Q2352)
South Sulawesi (Q277819)	Malayo-Polynesian languages (poz) (poz, Q14315)
South Tairora (omw) (omw, Q2021055)	Tairora (Q767637)
South Vanuatu (Q307017)	Southern Oceanic (Q303911)
South Watut (mcy) (mcy, Q1295329)	Watut (Q797508)
South West Bay (sns) (sns, Q216043)	Malakula (Q674306)
South-Central Dravidian (Q1263397)	Dravidian [Other] (dra) (dra, Q3331)
South-Central Dravidian (Q1263397)	South Dravidian (Q12888661)
South-West Pama-Nyungan (Q225816)	Pama–Nyungan (Q3394)
Southeast Ambrym (tvk) (tvk, Q25241)	Central Vanuatu (Q506198)
Southeast Ijo (ijs) (ijs, Q391585)	Ijo (ijo) (ijo, Q132202)
Southeast Solomonic (Q311967)	Central–Eastern Oceanic (Q206843)
Southeastern Dinka (dks) (dks, Q3653)	Dinka (din) (din, Q5646)
Southeastern Iranian (Q383300)	Eastern Iranian (Q39101)
Southeastern Ixtlán Zapotec (zpd) (zpd, Q805039)	Ixtlán Zapotec (Q6216870)
Southeastern Kolami (nit) (nit, Q5676)	Kolami–Naiki (Q1054703)
Southeastern Loloish (Q1611189)	Nisoish (Q5699)
Southeastern Mande (Q597291)	Eastern Mande (Q1263308)
Southeastern Nochixtlán Mixtec (mxy) (mxy, Q707068)	Northeastern Alta Mixtec (Q5679090)
Southeastern Pomo (pom) (pom, Q339602)	Pomoan (Q261842)
Southeastern Puebla Nahuatl (npl) (npl, Q463295)	Nahuan (Q1196560)
Southeastern Tarahumara (tcu) (tcu, Q5741969)	Tarahumara (Q3680)
Southeastern Tepehuan (stp) (stp, Q1295391)	Southern Tepehuán (Q5739585)
Southern Adelbert (Q1263398)	Madang (Q1121755)
Southern Alta (agy) (agy, Q756961)	Meso-Cordilleran (Q757150)
Southern Altai (alt) (alt, Q199177)	Kyrgyz–Kipchak (Q422118)
Southern Amami-Okinawan (Q708204)	Northern Ryukyuan (Q2086279)
Southern Amami-Oshima (ams) (ams, Q284098)	Amami (Q5692)
Southern Amami-Oshima (ams) (ams, Q284098)	Amami Ōshima (Q2148330)
Southern Amami-Oshima (ams) (ams, Q284098)	Northern Ryukyuan (Q2086279)
Southern Aslian (Q744919)	Aslian (Q311108)
Southern Aymara (ayc) (ayc, Q350803)	Aymara (ay) (ay, Q462)
Southern Bahnaric (Q11999689)	Bahnaric (Q5630)
Southern Baja Mixtec (Q5725947)	Mixtec (Q3636)
Southern Bantoid (Q318315)	Bantoid (Q80699)
Southern Bantu (Q98049)	East Bantu (Q4134725)
Southern Betsimisaraka Malagasy (bzc) (bzc, Q1611276)	Malagasy (mg) (mg, Q793)
Southern Binukidnon (mtw) (mtw, Q672960)	Bisayan (Q158445)
Southern Birifor (biv) (biv, Q3285974)	Birifor (Q3491)
Southern Bobo Madaré (bwq) (bwq, Q1100171)	Bobo (Q1262805)
Southern Bontok (obk) (obk, Q6330814)	Bontok (bnc) (bnc, Q494263)
Southern Burun (Q756969)	Western Nilotic (Q311498)
Southern Carrier (caf) (caf, Q1295342)	Carrier (crx) (crx, Q2061)
Southern Catanduanes Bikol (bln) (bln, Q756975)	Bikol (bik) (bik, Q3545)
Southern Chocho (Q3120251)	Chochotec (coz) (coz, Q296426)
